names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_landmark-one-main,error-type_region,error-type_link-name,error-type_label,error-type_page-has-heading-one,error-type_meta-viewport,error-type_heading-order,error-type_image-alt,error-type_bypass,error-type_empty-heading,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_tabindex,error-type_aria-allowed-role,error-type_aria-valid-attr-value,error-type_frame-title,error-type_duplicate-id-aria,error-type_skip-link,error-type_duplicate-id,error-type_html-has-lang,error-type_document-title,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_checkboxgroup,error-type_definition-list,error-type_frame-title-unique,error-type_duplicate-id-active,error-type_label-title-only,error-type_image-redundant-alt,error-type_autocomplete-valid,error-type_aria-required-children,error-type_listitem,error-type_aria-allowed-attr,error-type_list,error-type_landmark-no-duplicate-banner,error-type_landmark-contentinfo-is-top-level,error-type_input-image-alt
Joe McHugh,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Joe_McHugh,https://libertystrikesback.com/,votejoemchugh,,,Libertarian Party,Lost,"4,375,821","67,826",0.016,1,1,1,,,,1,3,1,,10,1,36,3,10,5,18,3200,1189,46.71,,6,,8,,,2,,,,,,,,,,1,,,,,1,,,,
Larry Bolinger,Nebraska,Attorney General,State,Executive,https://ballotpedia.org/Larry_Bolinger,https://larrybolinger.com,Bolinger_Larry,,,Legal Marijuana Now Party,Lost,"575,164","173,177",0.301,374,7,7,,,7,,,3,4,,7,415,3,381,21,10,15233,2589,49.33166667,,3,,,,,7,,,,,,,,,,,,,,,,3,,,
Sigal Chattah,Nevada,Attorney General,State,Executive,https://ballotpedia.org/Sigal_Chattah,https://chattah4nevada.com/,Chattah4Nevada,,chattahlaw,Republican Party,Lost,"960,042","426,202",0.444,68,1,1,8,2,,,1,,,,1,85,3,76,3,3,749,355,61.29,,,,,1,,3,,,,,,,,,,,,,,,,,,,
Raul Torrez,New Mexico,Attorney General,State,Executive,https://ballotpedia.org/Raul_Torrez,https://www.raultorrez.com/,TorrezforNM,,,Democratic Party,Won,"700,128","386,862",0.553,2,1,1,1,,,1,,1,,,1,8,2,4,2,0,60,41,73.68,,,,,,,,1,,,,,,,,,,,,,,,,,,
Michael Henry,New York,Attorney General,State,Executive,https://ballotpedia.org/Michael_Henry_(New_York),https://michaelhenryforag.com/,michaelhenry4ag,,michaelhenry123,Republican Party,Lost,"5,530,404","2,540,194",0.459,,38,38,400,4,,,35,5,,,38,634,9,400,149,76,14065,1844,32.88078947,,76,,,,38,,,,,,,,,,,,,,,,,,,,
Gentner Drummond,Oklahoma,Attorney General,State,Executive,https://ballotpedia.org/Gentner_Drummond,https://drummondok.com,,,,Republican Party,Won,"1,065,887","787,385",0.739,29,5,5,5,17,,3,2,50,,2,5,134,70,34,12,18,125,61,69.172,,,,,,,16,,,,,,,,,,,,,,,,,,,
Charles Calenda,Rhode Island,Attorney General,State,Executive,https://ballotpedia.org/Charles_Calenda,https://chas4ag.com/,CharlesCalenda,,,Republican Party,Lost,"348,331","134,210",0.385,2,1,1,1,,1,1,1,,,,1,9,1,3,4,1,14,14,91.11,,1,,,,,,,,,,,,,,,,,,,,,,,,
Marty J. Jackley,South Dakota,Attorney General,State,Executive,https://ballotpedia.org/Marty_J._Jackley,https://martyjackley.com/,martyjackley,,,Republican Party,Won,"257,419","257,419",1,19,8,8,30,6,8,8,,10,,,8,116,24,51,24,17,2668,902,6.69625,,,,2,,,17,,,,,,,,,,,,,,,,,,,
Rochelle Garza,Texas,Attorney General,State,Executive,https://ballotpedia.org/Rochelle_Garza,https://www.rochellegarzafortexas.com,RochelleMGarza,,,Democratic Party,Lost,"7,189,286","3,071,932",0.427,56,,,3,,4,,5,,,,5,68,0,59,9,0,1482,558,12.672,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity Clark,Vermont,Attorney General,State,Executive,https://ballotpedia.org/Charity_Clark,https://www.charityforvermont.com/,CharityForVT,,,Democratic Party,Won,"274,019","178,093",0.65,306,,,181,,6,,,,,,57,648,0,585,6,57,6937,1114,13.82175439,57,57,,,,,,,,,,,,,,41,,,,,,,,,,
Eric Toney,Wisconsin,Attorney General,State,Executive,https://ballotpedia.org/Eric_Toney,https://erictoney.com/,EricJToney,,,Republican Party,Lost,"2,625,559","1,295,707",0.493,,1,1,,,,,,,,,1,3,0,1,2,0,14,7,48.81,,,,,,,,1,,,,,,,,,,,,,,,,,,
