Library,Location,State,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Item ID Type Name,Item ID Type Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Digital Asset Magement Name,Digital Asset Magement Year,Self-Check Name,Self-Check Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Federated search product Name,Federated search product Year,Electronic Resource Magement Name,Electronic Resource Magement Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Automated Materials Handling Name,Automated Materials Handling Year,Web Content Magement Name,Web Content Magement Year,RFID Provider Name,RFID Provider Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Catalog Enhancement Name,Catalog Enhancement Year,RFID Tag Type Name,RFID Tag Type Year,Institutiol Repository Name,Institutiol Repository Year,Research Services Tool Name,Research Services Tool Year,Previous Discovery Index Name,Previous Discovery Index Year,Archives Magement Name,Archives Magement Year,Previous Link resolver Name,Previous Link resolver Year,number_of_total_trackers_homepage,behaviour_event_listeners_homepage,canvas_fingerprinters_homepage,canvas_font_fingerprinters_homepage,cookies_homepage,fb_pixel_events_homepage,key_logging_homepage,session_recorders_homepage,third_party_trackers_homepage,google_homepage,google_analytics_homepage,facebook_homepage,number_of_total_trackers_catalog,behaviour_event_listeners_catalog,canvas_fingerprinters_catalog,canvas_font_fingerprinters_catalog,cookies_catalog,fb_pixel_events_catalog,key_logging_catalog,session_recorders_catalog,third_party_trackers_catalog,google_catalog,google_analytics_catalog,facebook_catalog
Atmore Public Library,"Atmore, AL",Alabama,https://www.atmorepubliclibrary.com/,http://atmorelibrary.booksys.net/opac/apl/index.html#menuHome,Atriuum,,Circulation Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attalla Public Library,"Attalla, AL",Alabama,https://www.attallacity.org/attalla-public-library-2/,http://23.30.201.246:81/opac/attalla/index.html#menuHome,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Auburn Public Library,"Auburn, AL",Alabama,https://www.auburlabama.org/library/,http://books.auburlabama.org/POLARIS,Polaris,2004.0,Galaxy,1995.0,PLUS,1987.0,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autauga-Prattville Public Library,"Autauga County, AL",Alabama,https://www.appl.info/,https://appl.booksys.net/opac/appl/#menuHome,Atriuum,2016.0,Symphony,1996.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baldwin County Library Cooperative,"Baldwin County, AL",Alabama,http://www.baldwincountylibrary.org/,http://baldwincat.org,Library.Solution,2001.0,BiblioFile,1996.0,,,,,LS2 PAC,2001.0,Barcode,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bay Minette Public Library,"Bay Minette, AL",Alabama,https://cityofbayminetteal.gov/departments/library,http://www.baldwincat.org/,Library.Solution,,BiblioFile,1996.0,,,,,LS2 PAC,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,9.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayou La Batre Public Library,"Bayou La Batre, AL",Alabama,https://www.cityofbayoulabatre.com/public_library/index.php,https://tapia.biblionix.com/catalog/,Apollo,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bessemer Library,"Bessemer, AL",Alabama,https://www.bessemerlibrary.com/,http://www.jclc.org/services/opacmenu.html,Sierra,2013.0,Millennium,2000.0,Innopac,1996.0,CLSI,1981.0,Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birmingham Public Library,"Birmingham, AL",Alabama,http://www.bham.lib.al.us/,https://jeffa..iiivega.com/,Sierra,2013.0,Millennium,2000.0,Innopac,1996.0,CLSI,1981.0,Vega Discover,2021.0,Barcode,,Encore,2008.0,CONTENTdm,,Express Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,16.0,10.0,8.0,0.0,,,,,,,,,,,,
Blountsville Public Library,"Blountsville, AL",Alabama,https://blountsvillepubliclibrary.com/cgi-sys/suspendedpage.cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Boaz Public Library,"Boaz, AL",Alabama,https://www.cityofboaz.org/247/Library,,Atriuum,2007.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,28.0,15.0,0.0,,,,,,,,,,,,
Brantley Public Library,"Brantley, AL",Alabama,https://aplsnew-web.apls.state.al.us:10123/brantley/web/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewton Public Library,"Brewton, AL",Alabama,https://www.cityofbrewton.org/Living-in-Brewton/Library,https://brewtonlibrary.booksys.net/opac/bpl/index.html#menuHome,Atriuum,,Athe,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tupper Lightfoot Memorial Library,"Brundidge, AL",Alabama,https://www.tupperlightfootbrundidgelib.org/,https://bdgelib.booksys.net/,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenville-Butler County Public Library,"Butler County, AL",Alabama,https://www.greenville-bcpl.org/,http://gbcpl.booksys.net/opac/gbl/index.html#menuHome,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,25.0,11.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy Downs Memorial Calera Library,"Calera, AL",Alabama,https://www.cityofcalera.org/441/Library,http://catalog.shelbycounty-al.org/polaris/,Polaris,2002.0,Galaxy,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,11.0,0.0,0.0,21.0,0.0,0.0,0.0,40.0,36.0,20.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Library of Calhoun County,"Calhoun County, AL",Alabama,https://publibann.weebly.com/,https://catalog.publiclibrary.cc/,Koha -- ByWater Solutions,2015.0,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Hill City Library,"Carbon Hill, AL",Alabama,https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Library.Solution,2007.0,,,,,,,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0
Carrollton Public Library,"Carrollton, AL",Alabama,https://www.pickenslibrary.com/carrollton.html,http://pickenscclal.booksys.net/opac/cpl/#menuHome,Atriuum,,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,30.0,6.0,0.0,3.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent-Centreville Public Library,"Centreville, AL",Alabama,http://www.brentcentlib.com/,,Atriuum,2022.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,4.0,4.0,0.0,,,,,,,,,,,,
H. Grady Bradshaw Library,"Chambers County, AL",Alabama,https://chamberscountylibrary.org/,http://chambersal.booksys.net/opac/chambersal/,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,5.0,3.0,0.0,5.0,0.0,0.0,0.0,38.0,30.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea Public Library,"Chelsea, AL",Alabama,https://www.cityofchelsea.com/225/Library-Home,http://catalog.shelbycounty-al.org/polaris/,Polaris,2002.0,Galaxy,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherokee County Public Library,"Cherokee County, AL",Alabama,https://cherokeecountypubliclibrary.org/,https://cherokeecplal.booksys.net/opac/cherokeecplal/index.html#menuHome,Atriuum,,Concourse,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherokee Public Library,"Cherokee, AL",Alabama,https://www.cherokeepubliclibrary.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
I Pullen Smallwood Memorial Library,"Chickasaw, AL",Alabama,https://cityofchickasaw.org/residents/library/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,
Earle A. Rainwater Memorial Library,"Childersburg, AL",Alabama,http://www.childersburg.org/Library/,http://earmlal.booksys.net/opac/earml/index.html#menuHome,Atriuum,2014.0,Concourse,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chilton-Clanton Public Library,"Chilton County, AL",Alabama,https://www.chiltonclantonlibrary.org/,http://www.ccpl.lib.al.us/opac/ccpl/#menuHome,Atriuum,2011.0,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citronelle Memorial Library,"Citronelle, AL",Alabama,http://www.cityofcitronelle.com/library.asp,,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Collinsville Public Library,"Collinsville, AL",Alabama,https://collinsvillealabama.net/library/,,Atriuum,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,10.0,6.0,0.0,,,,,,,,,,,,
Columbia Public Library,"Columbia, AL",Alabama,https://www.columbiapubliclibrary.com/,,Polaris,2002.0,Galaxy,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Evergreen-Conecuh County Public Library,"Conecuh County, AL",Alabama,https://www.evergreel.org/public-library.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Cross Trails Regiol Library,"Cross Trails Region, AL",Alabama,http://www.opplibrary.com/,http://opp.booksys.net/opac/opl/index.html?mode=start,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crossville Public Library,"Crossville, AL",Alabama,http://www.crossvillepubliclibrary.com/,,Atriuum,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Cullman County Public Library System,"Cullman County, AL",Alabama,https://www.ccpls.com/,https://cullman.booksys.net/opac/cullman/#menuHome,Atriuum,2004.0,Millennium,1998.0,BiblioFile,1994.0,,,,,,,,,,,,,None,,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadeville Public Library,"Dadeville, AL",Alabama,https://dadevillepubliclibrary.com/404.html,http://dadevillepubliclibrary.com/online-catalog/,Atriuum,2019.0,Destiny,,Circulation Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0
Ozark-Dale County Public Library,"Dale County, AL",Alabama,https://www.odcpl.com/,https://odcplal.booksys.net/opac/odcplal/index.html?mode=start&force=true#menuHome?mode=start&force=true#menuHome,Atriuum,,Winnebago Spectrum,1999.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daleville Public Library,"Daleville, AL",Alabama,http://dalevillepubliclibrary.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Selma-Dallas County Public Library,"Dallas County, AL",Alabama,https://www.selmalibrary.org/,http://webcat.selmalibrary.org/uhtbin/webcat,Symphony,1996.0,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daphne Public Library,"Daphne, AL",Alabama,https://www.daphneal.com/178/Public-Library,http://216.231.174.250/baldwin/,Library.Solution,2001.0,BiblioFile,1996.0,,,,,LS2 PAC,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,30.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decatur Public Library,"Decatur, AL",Alabama,https://mydpl.org/,https://catalog.mydpl.org/,Koha -- ByWater Solutions,2018.0,Library.Solution,2005.0,Millennium,2004.0,DRA,1995.0,LS2 PAC,,,,,,,,,,,,,,,,CLSI,1984.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,11.0,4.0,0.0,7.0,0.0,0.0,0.0,27.0,26.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dekalb County Public Library,"Dekalb County, AL",Alabama,https://dekalbcountypubliclibrary.wordpress.com/,http://www.lmn.lib.al.us,Atriuum,2009.0,Millennium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,12.0,8.0,0.0,178.0,0.0,0.0,0.0,325.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demopolis Public Library,"Demopolis, AL",Alabama,https://demopolislibrary.org/,http://demopolisal.booksys.net/opac/dpl/index.html#menuHome,Atriuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Double Springs Public Library,"Double Springs, AL",Alabama,https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Library.Solution,2007.0,,,,,,,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0
Tallassee Community Library,"East Tallassee, AL",Alabama,http://www.tallasseecitylibrary.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Eclectic Public Library,"Eclectic, AL",Alabama,https://www.hugedomains.com/domain_profile.cfm?d=eclecticpubliclibrary.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,
Elba Public Library,"Elba, AL",Alabama,,https://elbaplal.booksys.net,Atriuum,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elberta Public Library,"Elberta, AL",Alabama,https://townofelberta.com/public-library/,http://www.baldwincat.org/,Library.Solution,2016.0,BiblioFile,1996.0,,,,,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
