names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Lady Donna Dutchess,Alaska 1st,House,Federal,Legislative,https://ballotpedia.org/Lady_Donna_Dutchess,https://www.ladydonna4congress.us,,,,Independent,Lost,"264,589",0,0.0,793.0,,,10.0,10,1321,91,793,22,415,8927,1673,34.165,,,,,2.0,415.0,85.0,,,,,,,,,,,,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,24,4,0,0,2,0,0,0,18
Jevin Hodge,Arizona 1st,House,Federal,Legislative,https://ballotpedia.org/Jevin_Hodge,https://jevinhodge.com,,,JevinHodge,Democratic Party,Lost,"358,742","177,867",0.496,54.0,37.0,,6.0,17,234,0,114,12,108,1743,519,82.78058824,,,,,,,,,,,6.0,108.0,14.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,59,10,2,0,9,0,0,0,38
Chris Sarappo,Arizona 2nd,House,Federal,Legislative,https://ballotpedia.org/Chris_Sarappo,https://www.chrissarappoazrep.com/,,,,Independent,Lost,"323,396",76,0.0,2.0,,3.0,3.0,3,13,2,2,8,1,153,100,63.69666667,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,59,15,3,0,7,0,0,0,34
Jeffrey Zink,Arizona 3rd,House,Federal,Legislative,https://ballotpedia.org/Jeffrey_Zink,https://jeffzinkforcongress.com/,realJeffZink,,,Republican Party,Lost,"90,723","21,663",0.239,3.0,218.0,78.0,30.0,30,704,94,227,171,212,4241,553,58.88,25.0,,2.0,,24.0,32.0,,,,,29.0,180.0,1.0,68.0,,,,,10.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,53,13,4,0,6,0,0,0,30
Javier Garcia Ramos,Arizona 5th,House,Federal,Legislative,https://ballotpedia.org/Javier_Garcia_Ramos,https://www.ramosaz.com/,RamosAZ5,,,Democratic Party,Lost,"321,590","120,243",0.374,54.0,11.0,7.0,,8,105,0,76,13,16,1550,516,68.50375,,,,,6.0,16.0,,,,,,,3.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,41,21,2,0,6,0,0,0,12
Kirsten Engel,Arizona 6th,House,Federal,Legislative,https://ballotpedia.org/Kirsten_Engel,https://www.engelforarizona.com/,EngelForArizona,,,Democratic Party,Lost,"349,283","171,969",0.492,16.0,16.0,2.0,,6,38,0,32,5,1,449,219,28.56333333,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,9,0,0,5,0,0,0,33
Luis  Pozzolo,Arizona 7th,House,Federal,Legislative,https://ballotpedia.org/Luis_Pozzolo,https://luis.vote/,Luis4congress,,,Republican Party,Lost,"121,809","43,927",0.361,23.0,40.0,,31.0,31,280,19,96,94,71,4562,1150,41.28419355,5.0,30.0,,,29.0,4.0,14.0,,,,31.0,67.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,44,18,5,0,2,0,0,0,19
Thomas Tzitzura,Arizona 9th,House,Federal,Legislative,https://ballotpedia.org/Thomas_Tzitzura,https://www.tzitzuraforaz.com/,,,,Democratic Party,Lost,"197,185",858,0.004,,,,1.0,1,5,2,0,2,1,43,39,41.7,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,1,0,0,0,1
Monte Hodges,Arkansas 1st,House,Federal,Legislative,https://ballotpedia.org/Monte_Hodges,https://www.monteforcongress.org/,MonteforAR,,hodgesmonte1,Democratic Party,Lost,"204,516","52,614",0.257,1.0,,1.0,,1,4,1,2,1,0,283,173,59.74,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,17,14,1,0,0,0,0,0,2
Quintessa Hathaway,Arkansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Quintessa_Hathaway,https://www.quintessahathaway.com/,DrQHathaway,,,Democratic Party,Lost,"245,778","86,540",0.352,2.0,135.0,79.0,90.0,90,839,37,163,243,396,18126,3098,38.5579661,3.0,,,,37.0,381.0,,16.0,21.0,,37.0,15.0,,,,,,,,,,,,,,,,12.0,6.0,5.0,,,,,,,,,,,,,,,62,13,2,0,7,0,0,0,40
Michael White,Arkansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Michael_White_(Arkansas),https://mw4liberty.com/,MW4Liberty,,,Libertarian Party,Lost,"245,778","11,562",0.047,52.0,6.0,13.0,3.0,3,97,3,61,20,13,388,195,67.38333333,,,,3.0,1.0,1.0,,3.0,,,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,4,1,3,0,0,0,0
Lauren Mallett-Hays,Arkansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Lauren_Mallett-Hays,https://www.laurenforarkansas.com/,Lauren4Arkansas,,,Democratic Party,Lost,"222,827","73,242",0.329,9.0,,1.0,,3,13,0,9,3,1,1347,503,53.18666667,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Gregory Maxwell,Arkansas 4th,House,Federal,Legislative,https://ballotpedia.org/Gregory_Maxwell,https://gregorymaxwellforuscongress.com/,GregoryMaxwell,,,Libertarian Party,Lost,"216,185","6,078",0.028,2.0,8.0,,2.0,2,42,10,12,6,14,102,69,87.195,,,,,2.0,,8.0,2.0,,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,0,2,0,0,0,0
Max Steiner,California 1st,House,Federal,Legislative,https://ballotpedia.org/Max_Steiner,https://maxsteinerforcongress.com/,MaxSteinerCA,,heraldmax,Democratic Party,Lost,"137,924","55,979",0.406,,,2.0,,33,81,20,8,50,3,10703,1970,76.16451613,20.0,,,,4.0,3.0,,,,4.0,4.0,,,,,,,4.0,,,,,,,,,11.0,,,,29.0,,,,,,,,,,,,,,45,18,0,0,6,0,0,0,21
Douglas Brower,California 2nd,House,Federal,Legislative,https://ballotpedia.org/Douglas_Brower,http://04861d0.wcomhost.com/,,,,Republican Party,Lost,"133,236","37,424",0.281,4.0,3.0,3.0,,2,17,1,11,5,0,3149,754,43.46,,,,,2.0,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,0,5,0,0,0,0
Kermit Jones,California 3rd,House,Federal,Legislative,https://ballotpedia.org/Kermit_Jones,https://www.kermitjonesforcongress.com/,DrKermitJones,,,Democratic Party,Lost,"293,478","137,009",0.467,16.0,,1.0,,3,26,0,19,4,3,1459,496,50.62333333,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,22,11,0,0,3,0,0,0,8
Matt Brock,California 4th,House,Federal,Legislative,https://ballotpedia.org/Matt_Brock,https://www.brock4congress.com/,,,,Republican Party,Lost,"129,979","42,040",0.323,,1.0,,,11,38,0,12,11,15,1328,498,51.98272727,,,,,11.0,15.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,38,12,0,0,6,0,0,0,20
Mike Barkley,California 5th,House,Federal,Legislative,https://ballotpedia.org/Mike_Barkley,http://www.mjbarkl.com/,mjbarkl,,,Democratic Party,Lost,"175,359","69,961",0.399,,6.0,15.0,227.0,227,4616,67,3857,692,0,2077620,66725,8.391453744,,,,,223.0,,67.0,,129.0,227.0,227.0,,,,,,,14.0,,,,,,,222.0,,,,,3259.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Tamika Hamilton,California 6th,House,Federal,Legislative,https://ballotpedia.org/Tamika_Hamilton,https://votetamika.org/,TamikaGHamilton,,,Republican Party,Lost,"121,850","52,943",0.434,102.0,112.0,3.0,49.0,49,471,53,317,101,0,11703,1778,32.96625,53.0,,,,,,,,,,49.0,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,12,2,0,0,2,0,0,0,8
Max Semenenko,California 7th,House,Federal,Legislative,https://ballotpedia.org/Max_Semenenko,https://max.vote/,,,,Republican Party,Lost,"68,426","23,473",0.343,8.0,59.0,,5.0,5,144,17,67,50,10,671,260,35.492,15.0,,,,4.0,10.0,2.0,,,,5.0,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,17,9,0,0,4,0,0,0,4
Rudy Recile,California 8th,House,Federal,Legislative,https://ballotpedia.org/Rudy_Recile,https://www.rudyforuscongress.com,Rudy4USCongress,,,Republican Party,Lost,"109,134","27,878",0.255,13.0,2.0,,1.0,1,23,0,16,3,4,486,255,67.08,,,,,,2.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,44,16,6,0,6,0,0,0,16
Michael Ernest Kerr,California 10th,House,Federal,Legislative,https://ballotpedia.org/Michael_Ernest_Kerr,https://www.kerr2020.com/,MEKPeaceJustice,,mekorganic,Green Party,Lost,"145,094","29,774",0.205,2521.0,565.0,32.0,130.0,104,3076,106,2419,232,319,69962,7699,-51.92528846,14.0,,1.0,,,393.0,96.0,,,130.0,130.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,49,4,0,0,12,0,0,2,31
John Dennis,California 11th,House,Federal,Legislative,https://ballotpedia.org/John_Dennis_(California),https://www.johndennisforcongress.com/,RealJohnDennis,,,Republican Party,Lost,"134,941","25,046",0.186,2.0,4.0,,4.0,4,17,0,8,9,0,648,303,63.7475,,,,,3.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,21,4,3,0,2,0,0,0,12
Adam Gray,California 13th,House,Federal,Legislative,https://ballotpedia.org/Adam_Gray,https://www.adamgrayforcongress.com/,,,,Democratic Party,Lost,"133,517","66,476",0.498,69.0,72.0,23.0,3.0,24,217,37,142,32,6,12691,2555,47.92916667,,,1.0,,3.0,,,,,,2.0,4.0,,15.0,19.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,46,11,0,0,5,0,0,0,30
Alison Hayden,California 14th,House,Federal,Legislative,https://ballotpedia.org/Alison_Hayden,https://alison4congress.com/,Alison4Congress,,Elled26,Republican Party,Lost,"74,042","25,383",0.343,,1.0,9.0,7.0,7,358,36,1,16,305,3400,1171,1.481428571,,,,,,282.0,36.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
David Canepa,California 15th,House,Federal,Legislative,https://ballotpedia.org/David_Canepa,https://davidcanepa.com/,davidcanepa,,,Democratic Party,Lost,"119,886","52,639",0.439,527.0,85.0,2.0,,51,765,4,703,7,51,10461,2080,58.24039216,4.0,40.0,,,5.0,51.0,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,36,15,0,0,5,0,0,0,16
Rishi Kumar,California 16th,House,Federal,Legislative,https://ballotpedia.org/Rishi_Kumar,https://rishikumar.com/,rishikumar1,,,Democratic Party,Lost,"135,078","56,087",0.415,1972.0,24898.0,27.0,388.0,191,28098,12340,14569,403,786,202529,12728,37.01163636,4.0,,,,2.0,1172.0,24481.0,386.0,,2.0,388.0,9.0,71.0,,,,407.0,165.0,,,39.0,,,,11.0,,,41.0,18.0,,,,,11.0,43.0,41.0,7.0,,,,,,,,243,13,2,0,20,0,0,0,208
Ritesh Tandon,California 17th,House,Federal,Legislative,https://ballotpedia.org/Ritesh_Tandon,https://www.tandonforcongress.com/,tandon4congress,,,Republican Party,Lost,"92,740","28,212",0.304,1.0,176.0,53.0,44.0,44,380,41,192,147,0,17363,3381,38.89162791,26.0,,1.0,,6.0,,4.0,,,,44.0,,15.0,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,7,2,0,7,0,0,0,18
Jeff Gorman,California 19th,House,Federal,Legislative,https://ballotpedia.org/Jeff_Gorman_(California),https://gormanforcongress.com/,JeffGormanMRY,,GormanCongress,Republican Party,Lost,"136,532","44,596",0.327,,,1.0,,1,3,1,1,1,0,649,360,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,0,0,0,0,0,0,0,0,0
Marisa Wood,California 20th,House,Federal,Legislative,https://ballotpedia.org/Marisa_Wood,https://marisawoodforcongress.com/,MarisaWoodCA,,,Democratic Party,Lost,"101,371","32,809",0.324,583.0,155.0,64.0,69.0,69,1960,16,869,219,856,12300,1770,57.95759259,4.0,,,,16.0,30.0,4.0,1.0,,,66.0,823.0,8.0,7.0,,,3.0,,4.0,,98.0,,,,,,,,,,,,,,25.0,,,,,,,,,,77,18,2,0,22,0,0,0,35
Michael Maher,California 21st,House,Federal,Legislative,https://ballotpedia.org/Michael_Maher_(California),https://www.michaelmaher.com/,maher4congress,,,Republican Party,Lost,"102,399","46,281",0.452,108.0,14.0,3.0,,11,151,16,122,11,2,8993,1922,29.36636364,,,,,8.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,146,34,1,0,19,0,0,0,92
Derek Marshall,California 23rd,House,Federal,Legislative,https://ballotpedia.org/Derek_Marshall,https://www.derekmarshallca.com/,DerekMarshallCA,,,Democratic Party,Lost,"88,134","34,697",0.394,121.0,34.0,,19.0,19,309,32,155,71,51,23834,3724,46.37473684,8.0,,,,16.0,,24.0,,,,19.0,51.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,61,12,5,0,4,4,0,0,36
Brad Allen,California 24th,House,Federal,Legislative,https://ballotpedia.org/Brad_Allen_(California),https://www.drbradallen.com,,,,Republican Party,Lost,"139,188","54,682",0.393,165.0,,17.0,,20,254,1,199,30,24,11069,2070,61.83210526,1.0,,,,13.0,20.0,,,,,,4.0,14.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,89,19,2,0,5,0,0,0,63
Brian Hawkins,California 25th,House,Federal,Legislative,https://ballotpedia.org/Brian_Hawkins,https://www.realpastorbrian.com/,realpastorbrian,,,Republican Party,Lost,"70,319","27,697",0.394,59.0,15.0,9.0,2.0,9,121,12,75,13,21,2086,796,55.58555556,2.0,,,,,15.0,,,,,1.0,6.0,1.0,,7.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,79,18,0,0,7,0,0,0,54
Christy Smith,California 27th,House,Federal,Legislative,https://ballotpedia.org/Christy_Smith,https://www.christyforcongress.org/,christysmithca,,,Democratic Party,Lost,"165,254","75,704",0.458,42.0,115.0,1.0,,10,174,3,157,10,4,4471,1183,38.161,1.0,,,,9.0,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,14,0,0,9,4,0,0,53
Wes Hallman,California 28th,House,Federal,Legislative,https://ballotpedia.org/Wes_Hallman,https://weshallmanforcongress.org/,,,,Republican Party,Lost,"117,648","43,250",0.368,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Angélica María Dueñas,California 29th,House,Federal,Legislative,https://ballotpedia.org/Ang%C3%A9lica_Mar%C3%ADa_Due%C3%B1as,https://www.angelica4congress.com/,angelica4ca,,,Democratic Party,Lost,"61,315","23,281",0.38,346.0,267.0,13.0,,63,737,2,659,13,63,5886,1150,55.96222222,1.0,40.0,,,,63.0,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,21,2,0,10,4,0,0,52
Daniel Bocic Martinez,California 31st,House,Federal,Legislative,https://ballotpedia.org/Daniel_Bocic_Martinez,https://www.danmartinez4congress.com/,,,,Republican Party,Lost,"85,579","38,508",0.45,,,1.0,,1,51,9,0,1,41,395,234,38.05,,,,,,37.0,9.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,0,2,0,0,0,0
David Kim,California 34th,House,Federal,Legislative,https://ballotpedia.org/David_Kim_(California),https://www.davidkimforca.com,DavidKimForCA,,,Democratic Party,Lost,"121,074","59,025",0.488,762.0,222.0,26.0,29.0,29,1140,18,1007,84,31,24570,4346,32.4462069,16.0,,,,,,1.0,,,,29.0,23.0,1.0,,,,8.0,,,,,,,,,,,2.0,2.0,12.0,,,,,,2.0,5.0,,,,,,,,88,21,1,0,9,4,0,0,53
Mike Cargile,California 35th,House,Federal,Legislative,https://ballotpedia.org/Mike_Cargile,https://www.cargileforcongress.com/,CargileForCA35,,,Republican Party,Lost,"76,655","33,603",0.438,397.0,34.0,,7.0,53,913,180,470,157,106,25639,3540,53.29230769,159.0,,,,44.0,106.0,21.0,,,,,,39.0,,,,,,53.0,,,,,,,,,,,,,53.0,,,,,,,,,,,,,82,21,3,0,8,4,0,0,46
Joe Collins,California 36th,House,Federal,Legislative,https://ballotpedia.org/Joe_Collins_(California),https://joeecollins3.com/,joeecollins3,,,Republican Party,Lost,"151,371","53,215",0.352,2160.0,582.0,160.0,153.0,164,3859,527,2777,525,30,56425,2809,68.66823171,234.0,,,,17.0,7.0,,148.0,,17.0,158.0,7.0,5.0,148.0,,,16.0,4.0,39.0,,,,,5.0,8.0,,,,,,,,,,,,,,,,,,,,132,8,3,0,15,4,0,0,102
Jan Perry,California 37th,House,Federal,Legislative,https://ballotpedia.org/Jan_Perry,https://janperry.com/,JanPerry,,,Democratic Party,Lost,"74,313","28,188",0.379,168.0,38.0,3.0,7.0,7,288,12,213,20,43,4736,1488,38.15714286,5.0,,,7.0,3.0,,,7.0,,,7.0,42.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15,1,0,2,0,0,0,13
Eric Ching,California 38th,House,Federal,Legislative,https://ballotpedia.org/Eric_Ching,https://ericchingforcongress.com/,EricChing4CD38,,,Republican Party,Lost,"114,020","51,186",0.449,33.0,32.0,,15.0,15,171,40,90,40,1,10992,1954,46.85533333,15.0,,1.0,,10.0,,24.0,,5.0,7.0,15.0,,3.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,9.0,,,,,,,,,,30,10,2,0,2,0,0,0,16
Aja Smith,California 39th,House,Federal,Legislative,https://ballotpedia.org/Aja_Smith,https://www.ajasmithforcongress.com/,AjaforCongress,,,Republican Party,Lost,"41,599","16,474",0.396,,53.0,17.0,7.0,13,103,13,54,36,0,4009,955,23.50153846,13.0,,,,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,19,2,0,7,0,0,0,37
Asif Mahmood,California 40th,House,Federal,Legislative,https://ballotpedia.org/Asif_Mahmood,https://drasifmahmood.com/,DrMahmood40,,,Democratic Party,Lost,"187,931","77,939",0.415,262.0,1.0,8.0,64.0,64,463,10,283,147,23,11426,1644,72.69636364,,,,,11.0,,6.0,,,,64.0,23.0,,4.0,,,,,,,18.0,,,,2.0,,,,,,,,,,,,,,,,,,,,50,10,0,0,20,0,0,0,20
Will Rollins,California 41st,House,Federal,Legislative,https://ballotpedia.org/Will_Rollins,https://willrollinsforcongress.com,WillRollinsCA,,,Democratic Party,Lost,"185,043","89,269",0.482,354.0,46.0,33.0,115.0,117,2781,61,647,279,1794,49783,5516,52.76401961,4.0,,2.0,2.0,16.0,55.0,6.0,2.0,,,109.0,1731.0,5.0,21.0,,,,,1.0,8.0,183.0,,3.0,,1.0,2.0,3.0,4.0,,3.0,1.0,,,2.0,48.0,1.0,10.0,8.0,1.0,1.0,,,,,84,17,2,0,23,0,0,0,42
John Briscoe,California 42nd,House,Federal,Legislative,https://ballotpedia.org/John_Briscoe,https://johnbriscoe.us/,johnfbriscoe,,,Republican Party,Lost,"75,877","27,467",0.362,59.0,156.0,20.0,11.0,11,297,32,217,44,4,3584,978,52.01454545,19.0,,,,2.0,4.0,2.0,11.0,,,11.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,11,4,0,6,4,0,0,40
Paul Irving Jones,California 44th,House,Federal,Legislative,https://ballotpedia.org/Paul_Irving_Jones_(California),https://pauljonesforcongress2022.com/,Congress2020J,,,Republican Party,Lost,"75,662","24,221",0.32,,10.0,12.0,10.0,10,94,27,20,37,10,863,245,42.30333333,27.0,,,,5.0,,,,,10.0,10.0,8.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
