names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_region,error-type_aria-allowed-role,error-type_tabindex,error-type_heading-order,error-type_landmark-one-main,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_duplicate-id,error-type_skip-link,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_frame-title,error-type_page-has-heading-one,error-type_bypass,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_label,error-type_html-has-lang,error-type_landmark-no-duplicate-banner,error-type_frame-title-unique,error-type_document-title,error-type_definition-list,error-type_list,error-type_checkboxgroup,error-type_empty-heading,error-type_duplicate-id-aria,error-type_landmark-no-duplicate-contentinfo,error-type_image-alt,error-type_meta-viewport,error-type_aria-required-attr,error-type_listitem,error-type_radiogroup,error-type_landmark-contentinfo-is-top-level,error-type_image-redundant-alt,error-type_landmark-main-is-top-level,error-type_autocomplete-valid,error-type_label-title-only,error-type_duplicate-id-active,error-type_landmark-banner-is-top-level,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
James F. Penman,"San Bernardino, California",Mayor,City,Executive,https://ballotpedia.org/James_Penman,https://penmanformayor.com/,,,,Nonpartisan,Lost,"26,747","9,961",0.372,,19.0,4.0,1.0,,3.0,4.0,,,,,4,74,38,23,12,1,3295,1065,-39.0475,,1.0,,,,,5.0,4.0,,,,,,,,,,33.0,,,,,,,,,,,,6,4,0,0,2,0,0,0,0
Matt Mahan,"San Jose, California",Mayor,City,Executive,https://ballotpedia.org/Matt_Mahan,https://mahanforsanjose.com/,MattMahanSJ,,matthewmahan,Nonpartisan,Won,"240,521","123,436",0.513,142.0,66.0,49.0,41.0,,2.0,8.0,1.0,1.0,372.0,11.0,49,998,214,221,150,413,32557,4870,52.78530612,1.0,31.0,,,,,124.0,,49.0,,,,1.0,,,87.0,,,,1.0,,,,,,,,11.0,,96,14,4,0,21,4,0,0,53
Cindy Chavez,"San Jose, California",Mayor,City,Executive,https://ballotpedia.org/Cindy_Chavez,https://www.cindychavezformayor.com/,chavezformayor,,,Nonpartisan,Lost,"240,521","117,085",0.487,25.0,68.0,,5.0,,21.0,2.0,,,4.0,,17,134,2,93,30,9,6024,1539,56.79764706,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,100,33,7,1,10,0,0,0,49
Valerie Amezcua,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Valerie_Amezcua,http://friendsofvalerieamezcua.webs.com/,,,,Nonpartisan,Won,"41,410","15,940",0.385,2.0,,1.0,,,1.0,1.0,,,,,1,6,0,3,3,0,39,24,100.58,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,18,6,0,0,7,0,0,0,5
Jose Solorio,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Jose_Solorio_(California),https://www.josesolorio.com/,JoseSolorio,,,Nonpartisan,Lost,"41,410","11,395",0.275,2.0,13.0,1.0,2.0,,,,,,,,2,22,2,15,3,2,322,185,36.86,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,85,20,0,0,9,0,0,0,56
Sal Tinajero,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Sal_Tinajero,https://www.saltinajero.com,SalTinajeroSA,,S_Tinajero,Nonpartisan,Lost,"41,410","10,951",0.264,,8.0,,,,,,,,,,1,23,1,9,1,12,51,37,86.5,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,12.0,,,,,,2,2,0,0,0,0,0,0,0
John Dailey,"Tallahassee, Florida",Mayor,City,Executive,https://ballotpedia.org/John_Dailey,https://daileyformayor.com/,JohnDaileyTLH,,,Nonpartisan,Won,"64,892","34,441",0.531,9.0,2.0,1.0,,,,1.0,,,,,1,17,3,12,2,0,172,104,77.43,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Kristin Dozier,"Tallahassee, Florida",Mayor,City,Executive,https://ballotpedia.org/Kristin_Dozier,https://www.dozierformayor2022.com/,KristinEDozier,,,Nonpartisan,Lost,"64,892","30,451",0.469,121.0,40.0,,,,11.0,,,,,,10,205,22,161,17,5,5155,1243,26.159,,6.0,,4.0,1.0,8.0,,,,,,,,,3.0,9.0,,,,,,,,2.0,,,,,,58,11,0,0,7,0,0,0,40
Linda Gorton,"Lexington, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Linda_Gorton,https://lindagorton.com/,mayorgorton,,,Nonpartisan,Won,"94,443","67,083",0.71,108.0,129.0,19.0,,,9.0,19.0,,,765.0,,19,1106,45,239,57,765,1567,512,50.19470588,1.0,10.0,,,,,5.0,,,,,,,1.0,,20.0,,,19.0,,,,,,,,1.0,,,23,6,1,0,4,0,0,0,12
David Kloiber,"Lexington, Kentucky",Mayor,City,Executive,https://ballotpedia.org/David_Kloiber,https://davidkloiber.com/,Kloiber4Lex,,,Nonpartisan,Lost,"94,443","27,360",0.29,22.0,62.0,9.0,,,7.0,9.0,,,45.0,,9,176,13,93,25,45,2870,1060,30.24222222,,,,,,,4.0,,,,,,,,,,,,9.0,,,,,,,,9.0,,,129,3,0,0,52,0,0,0,74
Craig Greenberg,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Craig_Greenberg,https://greenbergformayor.com/,RunWithCraig,,,Democratic Party,Won,"277,853","143,779",0.517,6.0,,1.0,,,,,,,,,1,18,8,8,2,0,771,379,55.81,2.0,1.0,,,,,1.0,,,,,,,,,,,6.0,,,,1.0,,,,,,,,12,7,1,0,2,0,0,0,2
William Dieruf,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/William_Dieruf,https://dierufformetromayor.com,mayorbilldieruf,,,Republican Party,Lost,"277,853","128,690",0.463,,11.0,1.0,6.0,1.0,2.0,,,,,,1,25,2,14,3,6,518,242,55.17,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,60,12,0,0,10,0,0,0,38
Martina Nichols Kunnecke,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Martina_Nichols_Kunnecke,https://www.kunneckeformayor.com,Kunnecke4Mayor,,,Independent,Lost,"277,853","1,689",0.006,,,,,,,,,,,,1,1,0,0,1,0,60,41,73.68,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Isaac Marion Thacker IV,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Isaac_Marion_Thacker_IV,https://www.ikeformayor.com/,,,,Socialist Workers Party,Lost,"277,853","1,215",0.004,,,,,,1.0,,,,,,4,1,0,0,1,0,1487,623,-11.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,10,5,0,2,0,0,0,26
David Ellenberger,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/David_Ellenberger,https://www.ellenbergerformayor.com/,,,,Independent,Lost,"277,853",448,0.002,181.0,4.0,43.0,,,21.0,5.0,,,6.0,,43,486,212,186,82,6,6166,633,74.91627907,,,,,,,211.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,13.0,0,0,0,0,0,0,0,0,0
Hillary Schieve,"Reno, Nevada",Mayor,City,Executive,https://ballotpedia.org/Hillary_Schieve,https://hillaryforreno.com,,,mayorschieve,Nonpartisan,Won,"87,333","51,530",0.59,4.0,2.0,1.0,1.0,,1.0,,,,,1.0,1,12,2,6,3,1,30,27,86.71,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,92,26,5,0,7,0,0,0,54
Eddie Lorton,"Reno, Nevada",Mayor,City,Executive,https://ballotpedia.org/Eddie_Lorton,https://eddielorton.com/,EddieLorton,,,Nonpartisan,Lost,"87,333","35,803",0.41,214.0,298.0,13.0,4.0,,14.0,,,,,,40,639,50,557,27,5,10358,1801,66.9035,45.0,,,,,5.0,45.0,,,,,,,,1.0,,,,,,,,,,,,,,,53,16,6,0,8,0,0,0,23
Ras Baraka,"Newark, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Ras_J._Baraka,http://rasjbaraka.com/,,,rasjbaraka,Nonpartisan,Won,"15,791","13,068",0.828,40.0,183.0,43.0,,30.0,12.0,40.0,,,,10.0,43,807,423,273,105,6,11895,1966,51.83214286,17.0,,,,,,7.0,,,,,,,,6.0,,,419.0,,,,,,,,,,,,21,17,0,0,0,0,0,0,4
Sheila Montague,"Newark, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Sheila_Montague,https://sheilamontague.com,,,,Nonpartisan,Lost,"15,791","2,723",0.172,,2.0,,,,,,,,1.0,,1,15,12,2,0,1,314,200,34.09,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,87,15,0,0,10,0,0,0,62
Kathy McBride,"Trenton, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Kathy_McBride,https://kathyformayor.com/,,,,Nonpartisan,Lost,"8,200","1,055",0.129,,,1.0,,,,1.0,,,,,1,4,2,0,2,0,79,62,62.31,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Robin Vaughn,"Trenton, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Robin_Vaughn,https://www.vaughnfortrentonmayor.org/,,,,Nonpartisan,Lost,"8,200",689,0.084,12.0,8.0,,,,2.0,,,,,,2,27,2,22,3,0,3175,743,43.345,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,6,1,0,0,5,0,0,0,0
Nancy Vaughan,"Greensboro, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Nancy_B._Vaughan,https://mayornancyvaughan.com,,,,Nonpartisan,Won,"32,360","13,932",0.431,73.0,31.0,24.0,,,10.0,,,,15.0,,24,284,24,111,133,16,18502,1659,34.35875,2.0,3.0,,,,,,,24.0,,,,,,1.0,,24.0,,24.0,,,,24.0,,,,,5.0,24.0,106,10,3,0,41,0,0,0,52
Justin Outling,"Greensboro, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Justin_Outling,https://voteoutling.com/,justinoutling,,,Nonpartisan,Lost,"32,360","13,507",0.417,133.0,5.0,45.0,129.0,,,6.0,1.0,1.0,,18.0,45,429,44,151,105,129,16147,2584,16.22888889,8.0,36.0,,,,,6.0,,,,,,,,,,,6.0,6.0,12.0,4.0,12.0,,,,1.0,,,,19,8,4,0,5,0,0,0,2
Terrance Ruth,"Raleigh, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Terrance_Ruth,https://truth4raleigh.com,,,,Nonpartisan,Lost,"147,174","61,311",0.417,67.0,42.0,28.0,1.0,,15.0,28.0,,,5.0,,28,250,64,109,71,6,2059,374,41.42892857,,,,,,29.0,,,,,,,,,,,,7.0,28.0,,,,,,,,,,,7,7,0,0,0,0,0,0,0
Brett Smiley,"Providence, Rhode Island",Mayor,City,Executive,https://ballotpedia.org/Brett_Smiley,https://www.smileyformayor.com/,brettpsmiley,,,Democratic Party,Won,"30,138","28,351",0.941,114.0,10.0,,13.0,13.0,3.0,,,,,,14,156,0,139,4,13,7050,1542,41.67615385,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,20,2,0,10,2,0,0,30
Adam Hernandez,"Lubbock, Texas",Mayor,City,Executive,https://ballotpedia.org/Adam_Hernandez,https://adamhformayor.com/,,,,Nonpartisan,Lost,"19,152","3,565",0.186,6.0,,,,,1.0,3.0,,,,,3,17,3,6,8,0,797,345,69.78666667,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,41,13,5,0,4,0,0,0,19
Rodney Grant,"Washington, D.C.",Mayor,City,Executive,https://ballotpedia.org/Rodney_Grant,https://grant4mayor.com,,,redgrantlaughs,Independent,Lost,"153,926","22,542",0.146,133.0,128.0,31.0,,,60.0,31.0,,,16.0,,31,419,0,262,133,24,206,86,195.7406667,1.0,11.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,44,26,8,0,2,0,0,0,8
Lance Wolfe,"Charleston, West Virginia",Mayor,City,Executive,https://ballotpedia.org/Lance_Wolfe,https://www.lancewolfeformayor.com,,,,Republican Party,Lost,"15,075","5,781",0.383,,14.0,7.0,21.0,,5.0,7.0,,,11.0,,7,65,0,14,19,32,803,229,57.75333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Robert Donovan,"Milwaukee, Wisconsin",Mayor,City,Executive,https://ballotpedia.org/Robert_G._Donovan_(Wisconsin),http://donovanforassembly.com/,,,AldermanDonovan,Republican Party,Lost,"86,686","24,543",0.283,17.0,,,1.0,1.0,1.0,,,,2.0,,1,27,4,18,2,3,320,186,59.06,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,26,14,0,0,4,0,0,0,8
