names,location,candidate_page,electoral_position,electoral_branch,electoral_level,area,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_color-contrast,error-type_label,error-type_region,error-type_heading-order,error-type_landmark-one-main,error-type_skip-link,error-type_aria-allowed-role,error-type_page-has-heading-one,error-type_duplicate-id-active,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_duplicate-id,error-type_image-alt,error-type_label-title-only,error-type_meta-viewport,error-type_radiogroup,error-type_html-has-lang,error-type_empty-heading,error-type_landmark-no-duplicate-banner,error-type_definition-list,error-type_document-title,error-type_checkboxgroup,error-type_tabindex,error-type_duplicate-id-aria,error-type_frame-title,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_autocomplete-valid,error-type_button-name,error-type_aria-roles,error-type_bypass,error-type_listitem,error-type_frame-title-unique,error-type_landmark-no-duplicate-contentinfo,error-type_list,error-type_aria-valid-attr,error-type_meta-viewport-large,error-type_landmark-contentinfo-is-top-level,error-type_landmark-banner-is-top-level,error-type_image-redundant-alt,error-type_aria-required-attr,error-type_area-alt,error-type_input-image-alt,error-type_aria-allowed-attr,error-type_marquee,error-type_landmark-main-is-top-level,error-type_meta-refresh,error-type_dlitem,error-type_object-alt,error-type_table-duplicate-name,error-type_aria-required-parent,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Randy Kaufman,"Maricopa County, Arizona",https://ballotpedia.org/Randy_Kaufman,Maricopa County Community College District,Legislative,County,At-large,Lost,"1,008,112","356,595",0.354,https://www.voterandykaufman.com/,,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Laura Metcalfe,"Maricopa County, Arizona",https://ballotpedia.org/Laura_Metcalfe,East Valley Institute of Technology District,Executive,Special District,District 5,Won,"41,624","24,240",0.582,https://www.laura4evitboard.com/,,,,Nonpartisan,27.0,59.0,2.0,,8.0,,,1.0,1.0,,7,106,9,86,9,2,962,214,51.09571429,,,,,,,1.0,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Wismer,"Maricopa County, Arizona",https://ballotpedia.org/Craig_Wismer,Judicial offices,Judicial,County,,Won,"55,467","55,467",1.0,https://craigwismer.com,,,,Republican Party,4.0,,,,2.0,,,4.0,1.0,,4,15,0,8,3,4,407,168,61.1425,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0
Fred Arnett,"Maricopa County, Arizona",https://ballotpedia.org/Fred_Arnett,Judicial offices,Judicial,County,,Won,"34,705","34,705",1.0,https://fredarnett4jp.com/,,,,Republican Party,5.0,,,3.0,,3.0,2.0,,2.0,,3,21,2,9,10,0,1971,546,43.69666667,,2.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Sharron Sauls,"Maricopa County, Arizona",https://ballotpedia.org/Sharron_Sauls,Judicial offices,Judicial,County,,Won,"33,574","33,574",1.0,https://saulsforjustice.com,,,,Democratic Party,,12.0,9.0,8.0,,8.0,,1.0,5.0,,8,69,10,34,21,4,2025,519,36.785,3.0,,,,,,,,,,,8.0,1.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,28.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,14.0
Michele Reagan,"Maricopa County, Arizona",https://ballotpedia.org/Michele_Reagan,Judicial offices,Judicial,County,,Won,"75,961","75,961",1.0,https://votereagan.com,,,,Republican Party,4.0,,1.0,4.0,8.0,,,122.0,,,4,171,16,4,12,139,742,334,52.7325,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Rebecca Rios,"Maricopa County, Arizona",https://ballotpedia.org/Rebecca_Rios,Judicial offices,Judicial,County,,Won,"26,253","26,253",1.0,https://www.riosforarizona.com,Rios_Rebecca,,,Democratic Party,,,,,1.0,,,,3.0,,3,5,0,0,4,1,303,165,28.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0
Tyler Kissell,"Maricopa County, Arizona",https://ballotpedia.org/Tyler_Kissell,Judicial offices,Judicial,County,,Won,"15,735","15,735",1.0,https://kissellforjustice.com,,,,Democratic Party,1.0,2.0,,1.0,4.0,1.0,,,,,1,11,2,3,6,0,37,31,51.86,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
Teresa Lopez,"Maricopa County, Arizona",https://ballotpedia.org/Teresa_Lopez,Judicial offices,Judicial,County,,Won,"8,352","8,352",1.0,https://www.electteresalopez.com/,,,,Democratic Party,20.0,17.0,,1.0,,,,,5.0,,5,56,10,37,6,3,822,320,51.92,3.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,54.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0
Theresa Riel,"Pima County, Arizona",https://ballotpedia.org/Theresa_Riel,Community College Board,Legislative,County,District 2,Won,"39,870","24,411",0.612,https://www.triel4pccboard.org,,,,Nonpartisan,1.0,1.0,,,1.0,,,1.0,,1.0,1,6,0,4,1,1,232,133,43.43,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
Victoria Steele,"Pima County, Arizona",https://ballotpedia.org/Victoria_Steele,Judicial offices,Judicial,County,,Won,"38,492","37,424",0.972,https://victoriasteeleforjustice.com/,VSteele4Justice,,,Democratic Party,7.0,16.0,16.0,7.0,1.0,7.0,,,3.0,,7,122,23,27,18,54,1290,425,54.17285714,49.0,,3.0,7.0,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristel Ann Foster,"Pima County, Arizona",https://ballotpedia.org/Kristel_Ann_Foster,Judicial offices,Judicial,County,,Won,"30,847","29,593",0.959,https://www.fosterjusticepeace.com/,KAFJusticePeace,,,Democratic Party,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Pamela Price,"Alameda County, California",https://ballotpedia.org/Pamela_Price_(California),District Attorney,Executive,County,,Won,"430,397","228,721",0.531,https://www.pamelaprice4da.com/,PPriceCares,,,Nonpartisan,231.0,1534.0,258.0,84.0,7.0,6.0,,93.0,91.0,6.0,99,2429,276,1778,188,187,28950,2793,37.11121212,93.0,12.0,,,1.0,,1.0,,,,,,5.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,29.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0
Terry Wiley,"Alameda County, California",https://ballotpedia.org/Terry_Wiley,District Attorney,Executive,County,,Lost,"430,397","201,676",0.469,https://terrywileyforda.com/,WileyforDA,,,Nonpartisan,5.0,1.0,18.0,5.0,1.0,1.0,,24.0,5.0,1.0,5,90,6,25,12,47,2800,952,5.072,23.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,6.0,4.0,0.0,17.0,0.0,0.0,0.0,20.0
Lena Tam,"Alameda County, California",https://ballotpedia.org/Lena_Tam,Board of Supervisors,Legislative,County,District 3,Won,"77,210","40,232",0.521,https://lenatam.com,,,,Nonpartisan,1.0,1.0,,1.0,1.0,1.0,,,,,1,8,2,2,3,1,822,528,24.41,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,11.0,5.0,2.0,9.0,0.0,0.0,0.0,20.0
Rebecca Kaplan,"Alameda County, California",https://ballotpedia.org/Rebecca_Kaplan,Board of Supervisors,Legislative,County,District 3,Lost,"77,210","36,978",0.479,https://www.supervisorkaplan.org/,Kaplan4Oakland,,,Nonpartisan,80.0,9.0,,,41.0,,,48.0,2.0,21.0,42,250,0,155,43,52,11111,2388,24.77075,,,,,,,4.0,,,,,42.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,39.0,18.0,2.0,0.0,6.0,0.0,0.0,0.0,13.0
Sarah Palmer,"Alameda County, California",https://ballotpedia.org/Sarah_Palmer,Special districts,Executive,Special District,,Won,"40,016","8,904",0.223,http://www.palmerforzone7.com/,,,,Nonpartisan,2.0,20.0,,8.0,2.0,8.0,,,6.0,,8,58,0,34,24,0,2276,790,37.25125,,,,,,8.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivia Sanwong,"Alameda County, California",https://ballotpedia.org/Olivia_Sanwong,Special districts,Executive,Special District,,Won,"40,016","8,834",0.221,http://www.oliviasanwong.com/,,,,Nonpartisan,,12.0,8.0,3.0,,3.0,,,2.0,,3,30,8,14,8,0,187,94,49.71333333,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0
Joel Young,"Alameda County, California",https://ballotpedia.org/Joel_Young,Special districts,Executive,Special District,,Won,"313,050","175,097",0.559,http://joelyoung.org/,,,,Nonpartisan,,2.0,,,2.0,,,22.0,,,1,36,5,2,2,27,422,232,35.85,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Alfred Twu,"Alameda County, California",https://ballotpedia.org/Alfred_Twu,Special districts,Executive,Special District,,Lost,"313,050","137,953",0.441,https://www.alfredtwu.org,alfredtwu_act,,,Nonpartisan,56.0,,,2.0,2.0,,,168.0,,,2,454,222,56,8,168,5742,1150,-27.13,,222.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Sarah Syed,"Alameda County, California",https://ballotpedia.org/Sarah_Syed,Special districts,Executive,Special District,,Won,"72,162","50,457",0.699,http://www.sarahfortransit.com/,,,,Nonpartisan,,11.0,1.0,9.0,,9.0,,3.0,,,9,46,13,12,18,3,2312,671,45.61777778,,2.0,,9.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stewart Chen,"Alameda County, California",https://ballotpedia.org/Stewart_Chen,Special districts,Executive,Special District,,Lost,"72,162","21,705",0.301,http://stewartchen.org/,,,,Nonpartisan,60.0,,,,4.0,,,,9.0,,9,105,0,92,13,0,2440,811,19.71444444,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,12.0
Murphy McCalley,"Alameda County, California",https://ballotpedia.org/Murphy_McCalley,Special districts,Executive,Special District,,Won,"57,453","36,630",0.638,http://www.votemccalley2022.com/,,,,Nonpartisan,,,,1.0,1.0,,,29.0,,,1,41,3,0,2,36,719,280,20.08,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Barisha Spriggs,"Alameda County, California",https://ballotpedia.org/Barisha_Spriggs,Special districts,Executive,Special District,,Lost,"57,453","20,823",0.362,https://www.spriggs4actransit.com/,BarishaS,,,Nonpartisan,16.0,2.0,,2.0,,,,72.0,2.0,,2,182,86,18,6,72,1284,352,-0.03,,86.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liz Ames,"Alameda County, California",https://ballotpedia.org/Liz_Ames,Special districts,Executive,Special District,,Won,"83,117","39,615",0.477,https://www.ames4change.com,,,,Nonpartisan,38.0,1.0,4.0,9.0,,9.0,,,,,9,124,53,53,18,0,2892,838,40.85888889,,49.0,,,,9.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance Nishihira,"Alameda County, California",https://ballotpedia.org/Lance_Nishihira,Special districts,Executive,Special District,,Lost,"83,117","26,909",0.324,https://lance4bart.org,lance4bart,,,Nonpartisan,,,,,1.0,,,3.0,2.0,,3,6,0,0,3,3,937,483,-34.60666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,18.0,9.0,1.0,5.0,0.0,0.0,0.0,6.0
Marguerite Young,"Alameda County, California",https://ballotpedia.org/Marguerite_Young,Special districts,Executive,Special District,,Won,"19,818","16,490",0.832,https://www.young4ebmud.org/,young4ebmud,,,Nonpartisan,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
