names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_region,error-type_aria-allowed-role,error-type_tabindex,error-type_heading-order,error-type_landmark-one-main,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_duplicate-id,error-type_skip-link,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_frame-title,error-type_page-has-heading-one,error-type_bypass,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_label,error-type_html-has-lang,error-type_landmark-no-duplicate-banner,error-type_frame-title-unique,error-type_document-title,error-type_definition-list,error-type_list,error-type_checkboxgroup,error-type_empty-heading,error-type_duplicate-id-aria,error-type_landmark-no-duplicate-contentinfo,error-type_image-alt,error-type_meta-viewport,error-type_aria-required-attr,error-type_listitem,error-type_radiogroup,error-type_landmark-contentinfo-is-top-level,error-type_image-redundant-alt,error-type_landmark-main-is-top-level,error-type_autocomplete-valid,error-type_label-title-only,error-type_duplicate-id-active,error-type_landmark-banner-is-top-level,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Rick J. Caruso,"Los Angeles, California",Mayor,City,Executive,https://ballotpedia.org/Rick_Caruso,https://carusocan.com/,RickCarusoLA,,,Nonpartisan,Lost,"929,974","420,030",0.452,12,,3,,,,,3,3,19,,3,44,6,15,3,20,6066,1603,46.81,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,246,123,20,1,20,12,0,0,70
Loren Taylor,"Oakland, California",Mayor,City,Executive,https://ballotpedia.org/Loren_Taylor,https://lorenforoakland.com/,lorenmtaylor,,,Nonpartisan,Lost,"125,522","56,529",0.497,98,14,34,4,,5,34,2,2,1,,34,274,60,125,84,5,12197,2055,38.71617647,3,11,6,,,,14,,,,,,,,,1,,,34,4,,3,,,,4,,,,172,132,22,1,2,0,0,0,15
Tyron Jordan,"Oakland, California",Mayor,City,Executive,https://ballotpedia.org/Tyron_Jordan,https://www.tyronjordanforoakland.com,TyronJordan13,,,Nonpartisan,Lost,"125,522",0,0,63,17,1,13,,8,1,,,,1,16,125,21,80,11,13,4650,1356,49.73,,,,7,,,1,,,,,,,1,,1,,1,7,,,3,,,,,,,,184,138,22,1,6,0,0,0,17
Helen Tran,"San Bernardino, California",Mayor,City,Executive,https://ballotpedia.org/Helen_Tran,https://helentranformayor.com,,,,Nonpartisan,Won,"26,747","16,786",0.628,,,7,,,5,,,,,,7,24,9,1,14,0,1251,508,49.18666667,1,2,,,,,9,,,,,,,,,,,,,,,,,,,,,,,182,145,22,1,5,0,0,0,9
James F. Penman,"San Bernardino, California",Mayor,City,Executive,https://ballotpedia.org/James_Penman,https://penmanformayor.com/,,,,Nonpartisan,Lost,"26,747","9,961",0.372,,19,4,1,,3,4,,,,,4,74,38,23,12,1,3295,1065,-39.0475,,1,,,,,5,4,,,,,,,,,,33,,,,,,,,,,,,174,149,22,1,2,0,0,0,0
Matt Mahan,"San Jose, California",Mayor,City,Executive,https://ballotpedia.org/Matt_Mahan,https://mahanforsanjose.com/,MattMahanSJ,,matthewmahan,Nonpartisan,Won,"240,521","123,436",0.513,142,66,49,41,,2,8,1,1,372,11,49,998,214,221,150,413,32557,4870,52.78530612,1,31,,,,,124,,49,,,,1,,,87,,,,1,,,,,,,,11,,268,163,26,1,21,4,0,0,53
Cindy Chavez,"San Jose, California",Mayor,City,Executive,https://ballotpedia.org/Cindy_Chavez,https://www.cindychavezformayor.com/,chavezformayor,,,Nonpartisan,Lost,"240,521","117,085",0.487,25,68,,5,,21,2,,,4,,17,134,2,93,30,9,6024,1539,56.79764706,,5,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,290,196,33,2,10,0,0,0,49
Valerie Amezcua,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Valerie_Amezcua,http://friendsofvalerieamezcua.webs.com/,,,,Nonpartisan,Won,"41,410","15,940",0.385,2,,1,,,1,1,,,,,1,6,0,3,3,0,39,24,100.58,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,249,202,33,2,7,0,0,0,5
Jose Solorio,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Jose_Solorio_(California),https://www.josesolorio.com/,JoseSolorio,,,Nonpartisan,Lost,"41,410","11,395",0.275,2,13,1,2,,,,,,,,2,22,2,15,3,2,322,185,36.86,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,322,222,33,2,9,0,0,0,56
Sal Tinajero,"Santa Ana, California",Mayor,City,Executive,https://ballotpedia.org/Sal_Tinajero,https://www.saltinajero.com,SalTinajeroSA,,S_Tinajero,Nonpartisan,Lost,"41,410","10,951",0.264,,8,,,,,,,,,,1,23,1,9,1,12,51,37,86.5,,1,,,,1,,1,,,,,,,,,,,,,,,,12,,,,,,259,224,33,2,0,0,0,0,0
John Dailey,"Tallahassee, Florida",Mayor,City,Executive,https://ballotpedia.org/John_Dailey,https://daileyformayor.com/,JohnDaileyTLH,,,Nonpartisan,Won,"64,892","34,441",0.531,9,2,1,,,,1,,,,,1,17,3,12,2,0,172,104,77.43,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,,259,224,33,2,0,0,0,0,0
Kristin Dozier,"Tallahassee, Florida",Mayor,City,Executive,https://ballotpedia.org/Kristin_Dozier,https://www.dozierformayor2022.com/,KristinEDozier,,,Nonpartisan,Lost,"64,892","30,451",0.469,121,40,,,,11,,,,,,10,205,22,161,17,5,5155,1243,26.159,,6,,4,1,8,,,,,,,,,3,9,,,,,,,,2,,,,,,317,235,33,2,7,0,0,0,40
Linda Gorton,"Lexington, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Linda_Gorton,https://lindagorton.com/,mayorgorton,,,Nonpartisan,Won,"94,443","67,083",0.71,108,129,19,,,9,19,,,765,,19,1106,45,239,57,765,1567,512,50.19470588,1,10,,,,,5,,,,,,,1,,20,,,19,,,,,,,,1,,,293,241,34,2,4,0,0,0,12
David Kloiber,"Lexington, Kentucky",Mayor,City,Executive,https://ballotpedia.org/David_Kloiber,https://davidkloiber.com/,Kloiber4Lex,,,Nonpartisan,Lost,"94,443","27,360",0.29,22,62,9,,,7,9,,,45,,9,176,13,93,25,45,2870,1060,30.24222222,,,,,,,4,,,,,,,,,,,,9,,,,,,,,9,,,406,244,34,2,52,0,0,0,74
Craig Greenberg,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Craig_Greenberg,https://greenbergformayor.com/,RunWithCraig,,,Democratic Party,Won,"277,853","143,779",0.517,6,,1,,,,,,,,,1,18,8,8,2,0,771,379,55.81,2,1,,,,,1,,,,,,,,,,,6,,,,1,,,,,,,,292,251,35,2,2,0,0,0,2
William Dieruf,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/William_Dieruf,https://dierufformetromayor.com,mayorbilldieruf,,,Republican Party,Lost,"277,853","128,690",0.463,,11,1,6,1,2,,,,,,1,25,2,14,3,6,518,242,55.17,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,348,263,35,2,10,0,0,0,38
Martina Nichols Kunnecke,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Martina_Nichols_Kunnecke,https://www.kunneckeformayor.com,Kunnecke4Mayor,,,Independent,Lost,"277,853","1,689",0.006,,,,,,,,,,,,1,1,0,0,1,0,60,41,73.68,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,263,35,2,3,0,0,0,0
Isaac Marion Thacker IV,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/Isaac_Marion_Thacker_IV,https://www.ikeformayor.com/,,,,Socialist Workers Party,Lost,"277,853","1,215",0.004,,,,,,1,,,,,,4,1,0,0,1,0,1487,623,-11.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,273,40,2,2,0,0,0,26
David Ellenberger,"Louisville, Kentucky",Mayor,City,Executive,https://ballotpedia.org/David_Ellenberger,https://www.ellenbergerformayor.com/,,,,Independent,Lost,"277,853",448,0.002,181,4,43,,,21,5,,,6,,43,486,212,186,82,6,6166,633,74.91627907,,,,,,,211,,,,,,,,,,,,,,,1,,,,1,,,13,315,273,40,2,0,0,0,0,0
Hillary Schieve,"Reno, Nevada",Mayor,City,Executive,https://ballotpedia.org/Hillary_Schieve,https://hillaryforreno.com,,,mayorschieve,Nonpartisan,Won,"87,333","51,530",0.59,4,2,1,1,,1,,,,,1,1,12,2,6,3,1,30,27,86.71,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,407,299,45,2,7,0,0,0,54
Eddie Lorton,"Reno, Nevada",Mayor,City,Executive,https://ballotpedia.org/Eddie_Lorton,https://eddielorton.com/,EddieLorton,,,Nonpartisan,Lost,"87,333","35,803",0.41,214,298,13,4,,14,,,,,,40,639,50,557,27,5,10358,1801,66.9035,45,,,,,5,45,,,,,,,,1,,,,,,,,,,,,,,,399,315,51,2,8,0,0,0,23
Ras Baraka,"Newark, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Ras_J._Baraka,http://rasjbaraka.com/,,,rasjbaraka,Nonpartisan,Won,"15,791","13,068",0.828,40,183,43,,30,12,40,,,,10,43,807,423,273,105,6,11895,1966,51.83214286,17,,,,,,7,,,,,,,,6,,,419,,,,,,,,,,,,389,332,51,2,0,0,0,0,4
Sheila Montague,"Newark, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Sheila_Montague,https://sheilamontague.com,,,,Nonpartisan,Lost,"15,791","2,723",0.172,,2,,,,,,,,1,,1,15,12,2,0,1,314,200,34.09,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,,472,347,51,2,10,0,0,0,62
Kathy McBride,"Trenton, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Kathy_McBride,https://kathyformayor.com/,,,,Nonpartisan,Lost,"8,200","1,055",0.129,,,1,,,,1,,,,,1,4,2,0,2,0,79,62,62.31,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,400,347,51,2,0,0,0,0,0
Robin Vaughn,"Trenton, New Jersey",Mayor,City,Executive,https://ballotpedia.org/Robin_Vaughn,https://www.vaughnfortrentonmayor.org/,,,,Nonpartisan,Lost,"8,200",689,0.084,12,8,,,,2,,,,,,2,27,2,22,3,0,3175,743,43.345,,1,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,406,348,51,2,5,0,0,0,0
Nancy Vaughan,"Greensboro, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Nancy_B._Vaughan,https://mayornancyvaughan.com,,,,Nonpartisan,Won,"32,360","13,932",0.431,73,31,24,,,10,,,,15,,24,284,24,111,133,16,18502,1659,34.35875,2,3,,,,,,,24,,,,,,1,,24,,24,,,,24,,,,,5,24,507,358,54,2,41,0,0,0,52
Justin Outling,"Greensboro, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Justin_Outling,https://voteoutling.com/,justinoutling,,,Nonpartisan,Lost,"32,360","13,507",0.417,133,5,45,129,,,6,1,1,,18,45,429,44,151,105,129,16147,2584,16.22888889,8,36,,,,,6,,,,,,,,,,,6,6,12,4,12,,,,1,,,,433,366,58,2,5,0,0,0,2
Terrance Ruth,"Raleigh, North Carolina",Mayor,City,Executive,https://ballotpedia.org/Terrance_Ruth,https://truth4raleigh.com,,,,Nonpartisan,Lost,"147,174","61,311",0.417,67,42,28,1,,15,28,,,5,,28,250,64,109,71,6,2059,374,41.42892857,,,,,,29,,,,,,,,,,,,7,28,,,,,,,,,,,433,373,58,2,0,0,0,0,0
Brett Smiley,"Providence, Rhode Island",Mayor,City,Executive,https://ballotpedia.org/Brett_Smiley,https://www.smileyformayor.com/,brettpsmiley,,,Democratic Party,Won,"30,138","28,351",0.941,114,10,,13,13,3,,,,,,14,156,0,139,4,13,7050,1542,41.67615385,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,393,60,2,10,2,0,0,30
Adam Hernandez,"Lubbock, Texas",Mayor,City,Executive,https://ballotpedia.org/Adam_Hernandez,https://adamhformayor.com/,,,,Nonpartisan,Lost,"19,152","3,565",0.186,6,,,,,1,3,,,,,3,17,3,6,8,0,797,345,69.78666667,,1,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,41,13,5,0,4,0,0,0,19
Rodney Grant,"Washington, D.C.",Mayor,City,Executive,https://ballotpedia.org/Rodney_Grant,https://grant4mayor.com,,,redgrantlaughs,Independent,Lost,"153,926","22,542",0.146,133,128,31,,,60,31,,,16,,31,419,0,262,133,24,206,86,195.7406667,1,11,,,,,,,,,,,,,8,,,,,,,,,,,,,,,499,419,68,2,2,0,0,0,8
Lance Wolfe,"Charleston, West Virginia",Mayor,City,Executive,https://ballotpedia.org/Lance_Wolfe,https://www.lancewolfeformayor.com,,,,Republican Party,Lost,"15,075","5,781",0.383,,14,7,21,,5,7,,,11,,7,65,0,14,19,32,803,229,57.75333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Robert Donovan,"Milwaukee, Wisconsin",Mayor,City,Executive,https://ballotpedia.org/Robert_G._Donovan_(Wisconsin),http://donovanforassembly.com/,,,AldermanDonovan,Republican Party,Lost,"86,686","24,543",0.283,17,,,1,1,1,,,,2,,1,27,4,18,2,3,320,186,59.06,,1,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,515,433,68,2,4,0,0,0,8
