names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt
Lady Donna Dutchess,Alaska 1st,House,Federal,Legislative,https://ballotpedia.org/Lady_Donna_Dutchess,https://www.ladydonna4congress.us,,,,Independent,Lost,"264,589",0,0,793,,,10,10,1321,91,793,22,415,8927,1673,34.165,,,,,2,415,85,,,,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,
Jevin Hodge,Arizona 1st,House,Federal,Legislative,https://ballotpedia.org/Jevin_Hodge,https://jevinhodge.com,,,JevinHodge,Democratic Party,Lost,"358,742","177,867",0.496,54,37,,6,17,234,0,114,12,108,1743,519,82.78058824,,,,,,,,,,,6,108,14,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
Chris Sarappo,Arizona 2nd,House,Federal,Legislative,https://ballotpedia.org/Chris_Sarappo,https://www.chrissarappoazrep.com/,,,,Independent,Lost,"323,396",76,0,2,,3,3,3,13,2,2,8,1,153,100,63.69666667,2,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Zink,Arizona 3rd,House,Federal,Legislative,https://ballotpedia.org/Jeffrey_Zink,https://jeffzinkforcongress.com/,realJeffZink,,,Republican Party,Lost,"90,723","21,663",0.239,3,218,78,30,30,704,94,227,171,212,4241,553,58.88,25,,2,,24,32,,,,,29,180,1,68,,,,,10,,,,2,1,1,,,,,,,,,,,,,,,,,,,
Javier Garcia Ramos,Arizona 5th,House,Federal,Legislative,https://ballotpedia.org/Javier_Garcia_Ramos,https://www.ramosaz.com/,RamosAZ5,,,Democratic Party,Lost,"321,590","120,243",0.374,54,11,7,,8,105,0,76,13,16,1550,516,68.50375,,,,,6,16,,,,,,,3,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Kirsten Engel,Arizona 6th,House,Federal,Legislative,https://ballotpedia.org/Kirsten_Engel,https://www.engelforarizona.com/,EngelForArizona,,,Democratic Party,Lost,"349,283","171,969",0.492,16,16,2,,6,38,0,32,5,1,449,219,28.56333333,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis  Pozzolo,Arizona 7th,House,Federal,Legislative,https://ballotpedia.org/Luis_Pozzolo,https://luis.vote/,Luis4congress,,,Republican Party,Lost,"121,809","43,927",0.361,23,40,,31,31,280,19,96,94,71,4562,1150,41.28419355,5,30,,,29,4,14,,,,31,67,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Thomas Tzitzura,Arizona 9th,House,Federal,Legislative,https://ballotpedia.org/Thomas_Tzitzura,https://www.tzitzuraforaz.com/,,,,Democratic Party,Lost,"197,185",858,0.004,,,,1,1,5,2,0,2,1,43,39,41.7,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Hodges,Arkansas 1st,House,Federal,Legislative,https://ballotpedia.org/Monte_Hodges,https://www.monteforcongress.org/,MonteforAR,,hodgesmonte1,Democratic Party,Lost,"204,516","52,614",0.257,1,,1,,1,4,1,2,1,0,283,173,59.74,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Quintessa Hathaway,Arkansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Quintessa_Hathaway,https://www.quintessahathaway.com/,DrQHathaway,,,Democratic Party,Lost,"245,778","86,540",0.352,2,135,79,90,90,839,37,163,243,396,18126,3098,38.5579661,3,,,,37,381,,16,21,,37,15,,,,,,,,,,,,,,,,12,6,5,,,,,,,,,,,,,,
Michael White,Arkansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Michael_White_(Arkansas),https://mw4liberty.com/,MW4Liberty,,,Libertarian Party,Lost,"245,778","11,562",0.047,52,6,13,3,3,97,3,61,20,13,388,195,67.38333333,,,,3,1,1,,3,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauren Mallett-Hays,Arkansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Lauren_Mallett-Hays,https://www.laurenforarkansas.com/,Lauren4Arkansas,,,Democratic Party,Lost,"222,827","73,242",0.329,9,,1,,3,13,0,9,3,1,1347,503,53.18666667,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Maxwell,Arkansas 4th,House,Federal,Legislative,https://ballotpedia.org/Gregory_Maxwell,https://gregorymaxwellforuscongress.com/,GregoryMaxwell,,,Libertarian Party,Lost,"216,185","6,078",0.028,2,8,,2,2,42,10,12,6,14,102,69,87.195,,,,,2,,8,2,,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Steiner,California 1st,House,Federal,Legislative,https://ballotpedia.org/Max_Steiner,https://maxsteinerforcongress.com/,MaxSteinerCA,,heraldmax,Democratic Party,Lost,"137,924","55,979",0.406,,,2,,33,81,20,8,50,3,10703,1970,76.16451613,20,,,,4,3,,,,4,4,,,,,,,4,,,,,,,,,11,,,,29,,,,,,,,,,,,,
Douglas Brower,California 2nd,House,Federal,Legislative,https://ballotpedia.org/Douglas_Brower,http://04861d0.wcomhost.com/,,,,Republican Party,Lost,"133,236","37,424",0.281,4,3,3,,2,17,1,11,5,0,3149,754,43.46,,,,,2,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermit Jones,California 3rd,House,Federal,Legislative,https://ballotpedia.org/Kermit_Jones,https://www.kermitjonesforcongress.com/,DrKermitJones,,,Democratic Party,Lost,"293,478","137,009",0.467,16,,1,,3,26,0,19,4,3,1459,496,50.62333333,,,,,3,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Matt Brock,California 4th,House,Federal,Legislative,https://ballotpedia.org/Matt_Brock,https://www.brock4congress.com/,,,,Republican Party,Lost,"129,979","42,040",0.323,,1,,,11,38,0,12,11,15,1328,498,51.98272727,,,,,11,15,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
Mike Barkley,California 5th,House,Federal,Legislative,https://ballotpedia.org/Mike_Barkley,http://www.mjbarkl.com/,mjbarkl,,,Democratic Party,Lost,"175,359","69,961",0.399,,6,15,227,227,4616,67,3857,692,0,2077620,66725,8.391453744,,,,,223,,67,,129,227,227,,,,,,,14,,,,,,,222,,,,,3259,,,,,,,,,,,,,,
Tamika Hamilton,California 6th,House,Federal,Legislative,https://ballotpedia.org/Tamika_Hamilton,https://votetamika.org/,TamikaGHamilton,,,Republican Party,Lost,"121,850","52,943",0.434,102,112,3,49,49,471,53,317,101,0,11703,1778,32.96625,53,,,,,,,,,,49,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,
Max Semenenko,California 7th,House,Federal,Legislative,https://ballotpedia.org/Max_Semenenko,https://max.vote/,,,,Republican Party,Lost,"68,426","23,473",0.343,8,59,,5,5,144,17,67,50,10,671,260,35.492,15,,,,4,10,2,,,,5,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,
Rudy Recile,California 8th,House,Federal,Legislative,https://ballotpedia.org/Rudy_Recile,https://www.rudyforuscongress.com,Rudy4USCongress,,,Republican Party,Lost,"109,134","27,878",0.255,13,2,,1,1,23,0,16,3,4,486,255,67.08,,,,,,2,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,
Michael Ernest Kerr,California 10th,House,Federal,Legislative,https://ballotpedia.org/Michael_Ernest_Kerr,https://www.kerr2020.com/,MEKPeaceJustice,,mekorganic,Green Party,Lost,"145,094","29,774",0.205,2521,565,32,130,104,3076,106,2419,232,319,69962,7699,-51.92528846,14,,1,,,393,96,,,130,130,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,
John Dennis,California 11th,House,Federal,Legislative,https://ballotpedia.org/John_Dennis_(California),https://www.johndennisforcongress.com/,RealJohnDennis,,,Republican Party,Lost,"134,941","25,046",0.186,2,4,,4,4,17,0,8,9,0,648,303,63.7475,,,,,3,,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Adam Gray,California 13th,House,Federal,Legislative,https://ballotpedia.org/Adam_Gray,https://www.adamgrayforcongress.com/,,,,Democratic Party,Lost,"133,517","66,476",0.498,69,72,23,3,24,217,37,142,32,6,12691,2555,47.92916667,,,1,,3,,,,,,2,4,,15,19,2,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Alison Hayden,California 14th,House,Federal,Legislative,https://ballotpedia.org/Alison_Hayden,https://alison4congress.com/,Alison4Congress,,Elled26,Republican Party,Lost,"74,042","25,383",0.343,,1,9,7,7,358,36,1,16,305,3400,1171,1.481428571,,,,,,282,36,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Canepa,California 15th,House,Federal,Legislative,https://ballotpedia.org/David_Canepa,https://davidcanepa.com/,davidcanepa,,,Democratic Party,Lost,"119,886","52,639",0.439,527,85,2,,51,765,4,703,7,51,10461,2080,58.24039216,4,40,,,5,51,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,
Rishi Kumar,California 16th,House,Federal,Legislative,https://ballotpedia.org/Rishi_Kumar,https://rishikumar.com/,rishikumar1,,,Democratic Party,Lost,"135,078","56,087",0.415,1972,24898,27,388,191,28098,12340,14569,403,786,202529,12728,37.01163636,4,,,,2,1172,24481,386,,2,388,9,71,,,,407,165,,,39,,,,11,,,41,18,,,,,11,43,41,7,,,,,,,
Ritesh Tandon,California 17th,House,Federal,Legislative,https://ballotpedia.org/Ritesh_Tandon,https://www.tandonforcongress.com/,tandon4congress,,,Republican Party,Lost,"92,740","28,212",0.304,1,176,53,44,44,380,41,192,147,0,17363,3381,38.89162791,26,,1,,6,,4,,,,44,,15,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Gorman,California 19th,House,Federal,Legislative,https://ballotpedia.org/Jeff_Gorman_(California),https://gormanforcongress.com/,JeffGormanMRY,,GormanCongress,Republican Party,Lost,"136,532","44,596",0.327,,,1,,1,3,1,1,1,0,649,360,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
Marisa Wood,California 20th,House,Federal,Legislative,https://ballotpedia.org/Marisa_Wood,https://marisawoodforcongress.com/,MarisaWoodCA,,,Democratic Party,Lost,"101,371","32,809",0.324,583,155,64,69,69,1960,16,869,219,856,12300,1770,57.95759259,4,,,,16,30,4,1,,,66,823,8,7,,,3,,4,,98,,,,,,,,,,,,,,25,,,,,,,,,
Michael Maher,California 21st,House,Federal,Legislative,https://ballotpedia.org/Michael_Maher_(California),https://www.michaelmaher.com/,maher4congress,,,Republican Party,Lost,"102,399","46,281",0.452,108,14,3,,11,151,16,122,11,2,8993,1922,29.36636364,,,,,8,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
Derek Marshall,California 23rd,House,Federal,Legislative,https://ballotpedia.org/Derek_Marshall,https://www.derekmarshallca.com/,DerekMarshallCA,,,Democratic Party,Lost,"88,134","34,697",0.394,121,34,,19,19,309,32,155,71,51,23834,3724,46.37473684,8,,,,16,,24,,,,19,51,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
Brad Allen,California 24th,House,Federal,Legislative,https://ballotpedia.org/Brad_Allen_(California),https://www.drbradallen.com,,,,Republican Party,Lost,"139,188","54,682",0.393,165,,17,,20,254,1,199,30,24,11069,2070,61.83210526,1,,,,13,20,,,,,,4,14,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
Brian Hawkins,California 25th,House,Federal,Legislative,https://ballotpedia.org/Brian_Hawkins,https://www.realpastorbrian.com/,realpastorbrian,,,Republican Party,Lost,"70,319","27,697",0.394,59,15,9,2,9,121,12,75,13,21,2086,796,55.58555556,2,,,,,15,,,,,1,6,1,,7,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,
Christy Smith,California 27th,House,Federal,Legislative,https://ballotpedia.org/Christy_Smith,https://www.christyforcongress.org/,christysmithca,,,Democratic Party,Lost,"165,254","75,704",0.458,42,115,1,,10,174,3,157,10,4,4471,1183,38.161,1,,,,9,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wes Hallman,California 28th,House,Federal,Legislative,https://ballotpedia.org/Wes_Hallman,https://weshallmanforcongress.org/,,,,Republican Party,Lost,"117,648","43,250",0.368,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angélica María Dueñas,California 29th,House,Federal,Legislative,https://ballotpedia.org/Ang%C3%A9lica_Mar%C3%ADa_Due%C3%B1as,https://www.angelica4congress.com/,angelica4ca,,,Democratic Party,Lost,"61,315","23,281",0.38,346,267,13,,63,737,2,659,13,63,5886,1150,55.96222222,1,40,,,,63,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bocic Martinez,California 31st,House,Federal,Legislative,https://ballotpedia.org/Daniel_Bocic_Martinez,https://www.danmartinez4congress.com/,,,,Republican Party,Lost,"85,579","38,508",0.45,,,1,,1,51,9,0,1,41,395,234,38.05,,,,,,37,9,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Kim,California 34th,House,Federal,Legislative,https://ballotpedia.org/David_Kim_(California),https://www.davidkimforca.com,DavidKimForCA,,,Democratic Party,Lost,"121,074","59,025",0.488,762,222,26,29,29,1140,18,1007,84,31,24570,4346,32.4462069,16,,,,,,1,,,,29,23,1,,,,8,,,,,,,,,,,2,2,12,,,,,,2,5,,,,,,,
Mike Cargile,California 35th,House,Federal,Legislative,https://ballotpedia.org/Mike_Cargile,https://www.cargileforcongress.com/,CargileForCA35,,,Republican Party,Lost,"76,655","33,603",0.438,397,34,,7,53,913,180,470,157,106,25639,3540,53.29230769,159,,,,44,106,21,,,,,,39,,,,,,53,,,,,,,,,,,,,53,,,,,,,,,,,,
Joe Collins,California 36th,House,Federal,Legislative,https://ballotpedia.org/Joe_Collins_(California),https://joeecollins3.com/,joeecollins3,,,Republican Party,Lost,"151,371","53,215",0.352,2160,582,160,153,164,3859,527,2777,525,30,56425,2809,68.66823171,234,,,,17,7,,148,,17,158,7,5,148,,,16,4,39,,,,,5,8,,,,,,,,,,,,,,,,,,,
Jan Perry,California 37th,House,Federal,Legislative,https://ballotpedia.org/Jan_Perry,https://janperry.com/,JanPerry,,,Democratic Party,Lost,"74,313","28,188",0.379,168,38,3,7,7,288,12,213,20,43,4736,1488,38.15714286,5,,,7,3,,,7,,,7,42,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Ching,California 38th,House,Federal,Legislative,https://ballotpedia.org/Eric_Ching,https://ericchingforcongress.com/,EricChing4CD38,,,Republican Party,Lost,"114,020","51,186",0.449,33,32,,15,15,171,40,90,40,1,10992,1954,46.85533333,15,,1,,10,,24,,5,7,15,,3,,,,1,,,,,,,,1,,,,,,,,,,9,,,,,,,,,
Aja Smith,California 39th,House,Federal,Legislative,https://ballotpedia.org/Aja_Smith,https://www.ajasmithforcongress.com/,AjaforCongress,,,Republican Party,Lost,"41,599","16,474",0.396,,53,17,7,13,103,13,54,36,0,4009,955,23.50153846,13,,,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asif Mahmood,California 40th,House,Federal,Legislative,https://ballotpedia.org/Asif_Mahmood,https://drasifmahmood.com/,DrMahmood40,,,Democratic Party,Lost,"187,931","77,939",0.415,262,1,8,64,64,463,10,283,147,23,11426,1644,72.69636364,,,,,11,,6,,,,64,23,,4,,,,,,,18,,,,2,,,,,,,,,,,,,,,,,,,
Will Rollins,California 41st,House,Federal,Legislative,https://ballotpedia.org/Will_Rollins,https://willrollinsforcongress.com,WillRollinsCA,,,Democratic Party,Lost,"185,043","89,269",0.482,354,46,33,115,117,2781,61,647,279,1794,49783,5516,52.76401961,4,,2,2,16,55,6,2,,,109,1731,5,21,,,,,1,8,183,,3,,1,2,3,4,,3,1,,,2,48,1,10,8,1,1,,,,
John Briscoe,California 42nd,House,Federal,Legislative,https://ballotpedia.org/John_Briscoe,https://johnbriscoe.us/,johnfbriscoe,,,Republican Party,Lost,"75,877","27,467",0.362,59,156,20,11,11,297,32,217,44,4,3584,978,52.01454545,19,,,,2,4,2,11,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Irving Jones,California 44th,House,Federal,Legislative,https://ballotpedia.org/Paul_Irving_Jones_(California),https://pauljonesforcongress2022.com/,Congress2020J,,,Republican Party,Lost,"75,662","24,221",0.32,,10,12,10,10,94,27,20,37,10,863,245,42.30333333,27,,,,5,,,,,10,10,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Gonzales,California 46th,House,Federal,Legislative,https://ballotpedia.org/Christopher_Gonzales,https://gonzalesforcongress.com/,gonzalesforCA46,,,Republican Party,Lost,"78,836","32,345",0.41,28,14,4,7,7,110,29,45,20,16,2019,636,52.69,14,,,1,2,,,7,1,,7,12,1,,,,4,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Scott Baugh,California 47th,House,Federal,Legislative,https://ballotpedia.org/Scott_Baugh,https://baughforcongress.com/,ScottBaughCA47,,ScottRBaugh,Republican Party,Lost,"259,268","125,509",0.484,4,56,,10,10,131,19,62,39,11,1507,510,56.66,19,,,,10,,,,1,,10,11,1,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
Stephen Houlahan,California 48th,House,Federal,Legislative,https://ballotpedia.org/Stephen_Houlahan,https://electhoulahan.com,electhoulahan,,SteveHoulahanRN,Democratic Party,Lost,"122,231","48,810",0.399,3,5,,6,6,66,12,10,13,31,1890,752,67.655,12,,,2,5,31,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Brian Maryott,California 49th,House,Federal,Legislative,https://ballotpedia.org/Brian_Maryott,https://maryottforcongress.com/,brianlmaryott,,,Republican Party,Lost,"287,769","136,493",0.474,949,210,129,125,125,2119,10,1173,338,598,43930,3920,30.06504065,12,,,,83,343,,,,,1,254,2,,,,1,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Corey Gustafson,California 50th,House,Federal,Legislative,https://ballotpedia.org/Corey_Gustafson,https://www.coreyforsandiego.com/,CoreyCA50,,,Republican Party,Lost,"145,020","57,972",0.4,133,20,21,,7,228,1,153,21,53,2543,767,56.95428571,,,1,,,37,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Geffeney,California 52nd,House,Federal,Legislative,https://ballotpedia.org/Tyler_Geffeney,https://tyler4congress.com/,,,,Republican Party,Lost,"81,757","29,112",0.356,2,2,1,30,30,177,81,5,67,24,6240,881,57.26333333,40,,,,28,22,9,30,1,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Jennifer Qualteri,Colorado 1st,House,Federal,Legislative,https://ballotpedia.org/Jennifer_Qualteri,https://jq4congressco.com/,jqualteri,,,Republican Party,Lost,"282,685","49,529",0.175,5,,7,5,5,198,3,5,12,178,101,31,76.56,,,,,,162,3,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Dawson,Colorado 2nd,House,Federal,Legislative,https://ballotpedia.org/Marshall_Dawson,https://dawsonforcongress.com,,,,Republican Party,Lost,"248,416","70,848",0.285,18,7,2,14,14,171,105,27,36,3,4733,1016,46.40857143,19,,,1,6,3,,14,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,
Adam Frisch,Colorado 3rd,House,Federal,Legislative,https://ballotpedia.org/Adam_Frisch,https://www.adamforcolorado.com/,AdamForColorado,,,Democratic Party,Lost,"327,285","163,293",0.499,29,171,3,20,56,302,45,200,33,24,1941,144,49.15054545,,,,,6,14,,,,,1,10,,2,39,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Marina Zimmerman,Colorado 3rd,House,Federal,Legislative,https://ballotpedia.org/Marina_Zimmerman,https://www.marinazimmerman.com/,Marina4Colorado,,,Independent,Lost,"327,285",74,0,965,348,78,61,61,1836,205,1351,219,61,20603,1692,53.73786885,88,,1,,19,57,115,,,,61,,,1,,,4,,,,28,,,,,10,,,,,,,,,,,,,,,,,,
Isaac McCorkle,Colorado 4th,House,Federal,Legislative,https://ballotpedia.org/Ian_McCorkle,https://ike4co.com/,ike4co,,IkeMcCorkle,Democratic Party,Lost,"301,992","113,618",0.376,,512,108,112,112,1247,318,520,393,16,22589,3182,43.12227273,91,,1,,42,16,112,112,,,98,,,2,,,,,33,,,,,8,,,,,,,,,,,,,,,,,,,,
Ryan McGonigal,Colorado 4th,House,Federal,Legislative,https://ballotpedia.org/Ryan_McGonigal,https://www.ryan4congress.com/,ryan4congressco,,,American Constitution Party,Lost,"301,992","6,907",0.023,2,8,2,6,6,58,12,12,19,15,1330,549,63.22166667,12,,,,5,12,,,,,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Torres,Colorado 5th,House,Federal,Legislative,https://ballotpedia.org/David_Torres_(Colorado),https://www.davidtorres4congress.com,Cd5Torres,,DMFT4CO,Democratic Party,Lost,"277,964","111,978",0.403,72,23,2,1,1,113,11,95,3,4,1036,417,69.62,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
